name,team,battingStyle,bowlingStyle,playingRole,description
Shubman Gill(c),GT,Right hand Bat,Right arm Offbreak,Opening Batter,
Rashid Khan,GT,Right hand Bat,Legbreak Googly,Bowling Allrounder,
Sai Sudharsan,GT,Left hand Bat,Legbreak,Top order Batter,"A tall left-hand batter, Sai Sudharsan is a post-Covid era emerging star from Tamil Nadu. He was a breakout talent from the Tamil Nadu Premier League [TNPL] who was fast-tracked into Tamil Nadu's sides across formats and is also remembered for his 47-ball 96 in the IPL 2023 final against CSK."
Ashutosh Sharma,PBKS,Right hand Bat,,Batting Allrounder,
Azmatullah Omarzai,GT,Right hand Bat,Right arm Medium fast,Allrounder,
Kagiso Rabada,PBKS,Left hand Bat,Right arm Fast,Bowler,
Rashid Khan,GT,Right hand Bat,Legbreak Googly,Bowling Allrounder,
David Miller,GT,Left hand Bat,Right arm Offbreak,Middle order Batter,
Rahul Tewatia,GT,Left hand Bat,Legbreak,Bowling Allrounder,
Sandeep Warrier,GT,Right hand Bat,Right arm Medium,Bowler,
Noor Ahmad,GT,Right hand Bat,Left arm Wrist spin,Bowler,
Harpreet Singh,PBKS,Left hand Bat,Right arm Medium,Batter,"A left-handed batting allrounder, Harpreet Singh hails from a small town in interior Madhya Pradesh called Dalli Rajhara. He scored 709 runs in seven matches in the Cooch Behar Trophy in 2008-09, which won him the award for the best Under-19 cricketer of the season. He was named vice-captain for the U-19 tour of Australia in 2009, where he scored a total of 262 runs at 52.40. He made his Ranji Trohy debut for MP later that year and was named in the U-19 squad for the World Cup in New Zealand.  Cricinfo Staff January 2010"
Rilee Rossouw,PBKS,Left hand Bat,Right arm Offbreak,Top order Batter,"A stylish top-order player with an elegant and authoritative drive, Rilee Rossouw has been a high-impact batter for South Africa in limited-overs cricket.  "
M Shahrukh Khan,GT,Right hand Bat,Right arm Offbreak,Batter,
Liam Livingstone,PBKS,Right hand Bat,"Right arm Offbreak, Legbreak",Batting Allrounder,"Liam Livingstone broke into the spotlight when he made a T20I hundred off 42 balls against Pakistan in 2021 - the fastest century in the format by an England player. By then he had a reputation in English cricket as a batter equipped with plenty of raw power and the ability to dismantle good bowling attacks, a sharp outfielder, and a useful spinner who could turn the ball either way."
Azmatullah Omarzai,GT,Right hand Bat,Right arm Medium fast,Allrounder,
Arshdeep Singh,PBKS,Left hand Bat,Left arm Medium fast,Bowler,
Harshal Patel,PBKS,Right hand Bat,Right arm Medium,Bowler,
Mohit Sharma,GT,Right hand Bat,Right arm Medium,Bowler,"Although Mohit Sharma burst onto the domestic scene during Haryana's best Ranji Trophy season in 2011-12, he made his own headlines a year later. In his debut season Mohit had played just three matches when Haryana made an impressive run to the semi-finals, but during the 2012-13 Ranji season he emerged as one of the best fast bowlers in the country, finishing as the fifth-highest wicket-taker. Despite that, not many had seen or known about the youngster from Faridabad, who had been on the fringes ever since he rose through age-group cricket camps organised by the Haryana Cricket Association. "
Liam Livingstone,PBKS,Right hand Bat,"Right arm Offbreak, Legbreak",Batting Allrounder,"Liam Livingstone broke into the spotlight when he made a T20I hundred off 42 balls against Pakistan in 2021 - the fastest century in the format by an England player. By then he had a reputation in English cricket as a batter equipped with plenty of raw power and the ability to dismantle good bowling attacks, a sharp outfielder, and a useful spinner who could turn the ball either way."
Harpreet Brar,PBKS,Left hand Bat,Slow Left arm Orthodox,Bowler,
Kagiso Rabada,PBKS,Left hand Bat,Right arm Fast,Bowler,
Sam Curran,PBKS,Left hand Bat,Left arm Medium fast,Allrounder,
Sai Kishore,GT,Left hand Bat,Slow Left arm Orthodox,Bowler,
Umesh Yadav,GT,Right hand Bat,Right arm Fast,Bowler,"Less than two seasons after fast bowler Umesh Yadav first played with a leather ball, he was bowling against the likes of Rahul Dravid and VVS Laxman in the Duleep Trophy. What makes his ascent even more remarkable is that he represents unglamorous Vidarbha in the Plate League of the Ranji Trophy. Yadav is the son of a coal-mine worker and was aiming to become a policeman. He only started considering a career in cricket as a 19-year-old, an age by which the best young Indian cricketers are in the running for a national cap. "
Jonny Bairstow,PBKS,Right hand Bat,Right arm Medium,Wicketkeeper Batter,
Darshan Nalkande,GT,Right hand Bat,Right arm Fast medium,Bowler,
Sikandar Raza,PBKS,Right hand Bat,"Right arm Offbreak, Legbreak",Batting Allrounder,"Sikandar Raza's story isn't that of your everyday international cricketer. He is not a teenage prodigy, nor is he someone who had a burning ambition to play for his country. He journeyed through from his adolescence to adulthood and stumbled upon the sport he sometimes played as a child, only to discover he is quite good at it."
Sikandar Raza,PBKS,Right hand Bat,"Right arm Offbreak, Legbreak",Batting Allrounder,"Sikandar Raza's story isn't that of your everyday international cricketer. He is not a teenage prodigy, nor is he someone who had a burning ambition to play for his country. He journeyed through from his adolescence to adulthood and stumbled upon the sport he sometimes played as a child, only to discover he is quite good at it."
Vijay Shankar,GT,Right hand Bat,Right arm Medium,Allrounder,
Shikhar Dhawan(c),PBKS,Left hand Bat,Right arm Offbreak,Opening Batter,
Sanju Samson(c),RR,Right hand Bat,,Wicketkeeper Batter,
Tanush Kotian,RR,Right hand Bat,Right arm Offbreak,Bowling Allrounder,
Kuldeep Sen,RR,Right hand Bat,Right arm Fast,Bowler,"A first-class debut in late 2018, an IPL debut in 2022 and an India cap in December 2022. A fast bowler from Madhya Pradesh, Kuldeep Sen was fast-tracked through the domestic circuit and IPL into the India set-up for his ability to crank the pace above 140kmph and pick wickets regularly. His career, though has been hit by injuries."
Rovman Powell,RR,Right hand Bat,Right arm Medium fast,Middle order Batter,"A middle-order batter who bowls occasional medium pace, Rovman Powell has been a semi-regular presence in West Indies' white-ball squads from the mid-2010s without quite nailing down a spot. "
Avesh Khan,RR,Right hand Bat,Right arm Fast medium,Bowler,"A tall right-arm quick with a high arm action, Avesh Khan made his name through two Under-19 World Cups and graduated to the senior level after impressing with his variations, seam movement, and slower deliveries. "
Riyan Parag,RR,Right hand Bat,"Right arm Offbreak, Legbreak",Top order Batter,
Atharva Taide,PBKS,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,
Dhruv Jurel,RR,Right hand Bat,,Wicketkeeper Batter,
Keshav Maharaj,RR,Right hand Bat,Slow Left arm Orthodox,Bowler,"A left-arm spinner from Northwood Boys High, the alma mater of Shaun Pollock, Keshav Maharaj emerged at a time when South Africa began to take spin seriously. For several seasons in the mid 2010s, spinners were among the leading wicket-takers in South Africa's first-class competition. Maharaj was among them in the 2014-15 and 2015-16 seasons and was rewarded with an international call-up the following summer."
Trent Boult,RR,Right hand Bat,Left arm Fast medium,Bowler,
Trent Boult,RR,Right hand Bat,Left arm Fast medium,Bowler,
Keshav Maharaj,RR,Right hand Bat,Slow Left arm Orthodox,Bowler,"A left-arm spinner from Northwood Boys High, the alma mater of Shaun Pollock, Keshav Maharaj emerged at a time when South Africa began to take spin seriously. For several seasons in the mid 2010s, spinners were among the leading wicket-takers in South Africa's first-class competition. Maharaj was among them in the 2014-15 and 2015-16 seasons and was rewarded with an international call-up the following summer."
Shimron Hetmyer,RR,Left hand Bat,,Middle order Batter,
Yuzvendra Chahal,RR,Right hand Bat,Legbreak Googly,Bowler,
Yashasvi Jaiswal,RR,Left hand Bat,Legbreak,Opening Batter,
Ishan Kishan,MI,Left hand Bat,"Right arm Offbreak, Legbreak",Wicketkeeper Batter,
Hardik Pandya,MI,Right hand Bat,Right arm Medium fast,Allrounder,
Akash Deep,RCB,Right hand Bat,Right arm Fast medium,Bowler,"Akash Deep's is the ideal story of how years of toil gets you a dream Test debut where Rahul Dravid hands you the cap, and in the first hour of the game, you run through the opposition's top order."
Harpreet Brar,PBKS,Left hand Bat,Slow Left arm Orthodox,Bowler,
Hardik Pandya(c),MI,Right hand Bat,Right arm Medium fast,Allrounder,
Romario Shepherd,MI,Right hand Bat,Right arm Fast medium,Bowling Allrounder,"A bowling allrounder, Romario Shepherd started for Guyana in domestic cricket with the List A format in 2016 and then first-class in 2017. But his hard-hitting batting as a finisher has instead helped him become a T20 specialist."
Jasprit Bumrah,MI,Right hand Bat,Right arm Fast,Bowler,
Dinesh Karthik,RCB,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"Not many would forget the sight of Dinesh Karthik in India colours, horizontal on the ground, as he stumped Michael Vaughan in 2004. It was his first dismissal as a wicketkeeper for India, but his international career never really took off. Around the time he began churning out consistent runs in domestic cricket, India had MS Dhoni at the helm and behind the stumps, so there was very little Karthik could do. A man who was an integral part of a Test series victory over England in 2007, who showed he could open the batting in spicy conditions, just could not capitalise on his second chances. "
Reece Topley,RCB,Right hand Bat,Left arm Fast medium,Bowler,"A left-arm seamer with a fearsome yorker but a chequered injury history, Reece Topley's career was in peril before his 25th birthday as he suffered a series of stress fractures that left him wondering whether he would ever be able to play again."
Will Jacks,RCB,Right hand Bat,Right arm Offbreak,Batting Allrounder,
Saurav Chauhan,RCB,Left hand Bat,Right arm Offbreak,Top order Batter,
Gerald Coetzee,MI,Right hand Bat,Right arm Fast,Bowler,
Kane Williamson,GT,Right hand Bat,Right arm Offbreak,Top order Batter,
Mahipal Lomror,RCB,Left hand Bat,Slow Left arm Orthodox,Allrounder,"Born and brought up in Rajasthan, Mahipal Lomror started as a specialist batsman and later turned into an allrounder, who could bowl left-arm spin. Lomror is an aggressive batsman who fearlessly goes for the big shots, much like how his role model Adam Gilchrist used to. "
Shreyas Gopal,MI,Right hand Bat,Legbreak,Allrounder,
Rohit Sharma,MI,Right hand Bat,Right arm Offbreak,Top order Batter,
Tilak Varma,MI,Left hand Bat,Right arm Offbreak,Batting Allrounder,
Mohammad Nabi,MI,Right hand Bat,Right arm Offbreak,Allrounder,"Mohammad Nabi hails from a well-to-do family that moved to Peshawar in Pakistan, seeking a safe haven from the Soviet War in Afghanistan. An efficient allrounder - a strong middle-order batsman who can bowl flighted offspin - Nabi's rise, like Afghanistan's, has been staggering. He has been at the centre of the side since their time in the ICC's World Cricket League Division Five, from where Afghanistan began their rise to the international stage."
Will Jacks,RCB,Right hand Bat,Right arm Offbreak,Batting Allrounder,
Akash Madhwal,MI,Right hand Bat,Right arm Medium fast,Bowler,
Suryakumar Yadav,MI,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter,
Quinton de Kock,LSG,Left hand Bat,,Wicketkeeper Batter,
Arshad Khan,LSG,Left hand Bat,Left arm Medium,Bowler,
Yash Thakur,LSG,Right hand Bat,Right arm Fast medium,Bowler,
Vaibhav Arora,KKR,Right hand Bat,Right arm Fast medium,Bowler,
Krunal Pandya,LSG,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Angkrish Raghuvanshi,KKR,Right hand Bat,Slow Left arm Orthodox,Top order Batter,"Angkrish Raghuvanshi, the tall, right-hand top-order batter, was India's highest run-getter at the 2022 Under-19 World Cup in the Caribbean, which India won. Raghuvanshi finished fourth on the overall scorers' list with 278 runs from six innings, though he recorded a two-ball duck against England in the final."
Akash Deep,RCB,Right hand Bat,Right arm Fast medium,Bowler,"Akash Deep's is the ideal story of how years of toil gets you a dream Test debut where Rahul Dravid hands you the cap, and in the first hour of the game, you run through the opposition's top order."
Arshad Khan,LSG,Left hand Bat,Left arm Medium,Bowler,
Shamar Joseph,LSG,Left hand Bat,Right arm Fast,Bowler,"The first time was a surprise, and the second a shock. Five wickets in Adelaide, and seven more in Brisbane, with a badly injured toe, to bowl West Indies to their first Test win in Australia in nearly 27 years. Shamar Joseph did all this in his debut series on the Australia tour of 2023-24."
Nicholas Pooran,LSG,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,
Ravi Bishnoi,LSG,Right hand Bat,Legbreak Googly,Bowler,"Ravi Bishnoi is a modern-day legspinner who likes to trouble batters with his fast legbreaks, sliders and googlies instead of deceiving them with flight, drift and dip."
Krunal Pandya,LSG,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Marcus Stoinis,LSG,Right hand Bat,Right arm Medium,Batting Allrounder,
KL Rahul(c),LSG,Right hand Bat,,Wicketkeeper Batter,
Deepak Hooda,LSG,Right hand Bat,Right arm Offbreak,Allrounder,
Ayush Badoni,LSG,Right hand Bat,Right arm Offbreak,Batter,
Mohsin Khan,LSG,Left hand Bat,Left arm Medium fast,Bowler,
Lockie Ferguson,RCB,Right hand Bat,Right arm Fast,Bowler,"Fiercely quick right-arm fast bowler Lockie Ferguson made an impact at the 2019 ODI World Cup in England with his bruising pace and bounce, taking 21 wickets at under 20 runs apiece and an economy rate of 4.88 - the second most wickets in the tournament. "
Jitesh Sharma,PBKS,Right hand Bat,,Wicketkeeper Batter,
Vidwath Kaverappa,PBKS,Right hand Bat,Right arm Fast medium,Bowler,
Rahul Chahar,PBKS,Right hand Bat,Legbreak Googly,Bowler,
Swapnil Singh,RCB,Right hand Bat,Slow Left arm Orthodox,Bowler,"Swapnil Singh's career has been a rollercoaster. The left-arm-spin-bowling allrounder was part of India's 25 probables for the 2008 Under-19 World Cup, but ultimately did not make the squad for Malaysia. However, he made his first-class debut for Baroda at the age of 14 years and 355 days. Over the next ten years, he played just 76 domestic matches, of which 31 came during the 2014-15 and 2015-16 seasons. Swapnil claimed 6 for 19, the second-best bowling figures in the Syed Mushtaq Ali T20 tournament, and was later bought for INR 10 lakhs by the erstwhile Kings XI Punjab (now Punjab Kings) at the 2016 IPL auction. Under Glenn Maxwell's captaincy at PBKS, he made his IPL debut, with a maiden wicket of MS Dhoni. Later, he was with Lucknow Super Giants during IPL 2023, while in IPL 2024, Swapnil played six league games with his new team Royal Challengers Bengaluru. His tidy bowling helped RCB win their last six matches to qualify for the playoffs. Domestically, Swapnil has moved from Baroda to Uttarakhand.
ESPNcricinfo staff"
Jonny Bairstow,PBKS,Right hand Bat,Right arm Medium,Wicketkeeper Batter,
Rahul Chahar,PBKS,Right hand Bat,Legbreak Googly,Bowler,
Swapnil Singh,RCB,Right hand Bat,Slow Left arm Orthodox,Bowler,"Swapnil Singh's career has been a rollercoaster. The left-arm-spin-bowling allrounder was part of India's 25 probables for the 2008 Under-19 World Cup, but ultimately did not make the squad for Malaysia. However, he made his first-class debut for Baroda at the age of 14 years and 355 days. Over the next ten years, he played just 76 domestic matches, of which 31 came during the 2014-15 and 2015-16 seasons. Swapnil claimed 6 for 19, the second-best bowling figures in the Syed Mushtaq Ali T20 tournament, and was later bought for INR 10 lakhs by the erstwhile Kings XI Punjab (now Punjab Kings) at the 2016 IPL auction. Under Glenn Maxwell's captaincy at PBKS, he made his IPL debut, with a maiden wicket of MS Dhoni. Later, he was with Lucknow Super Giants during IPL 2023, while in IPL 2024, Swapnil played six league games with his new team Royal Challengers Bengaluru. His tidy bowling helped RCB win their last six matches to qualify for the playoffs. Domestically, Swapnil has moved from Baroda to Uttarakhand.
ESPNcricinfo staff"
Karn Sharma,RCB,Left hand Bat,Legbreak Googly,Bowler,"After Praveen Kumar and Bhuvneshwar Kumar, legspinner Karn Sharma became the third cricketer to hit the headlines from the small western Uttar Pradesh town of Meerut when he bagged a Rs 3.75 crore from Sunrisers Hyderabad in the 2014 IPL auction. It was the highest amount earned by a domestic uncapped player in the auction, and was reward for a solid season with Sunrisers in 2013, when he grabbed 11 wickets in 13 matches at an economy rate of 6.60. He formed a potent combination with India legspinner Amit Mishra as Sunrisers beat expectations to reach the semi-finals in their first season."
Spencer Johnson,GT,Left hand Bat,Left arm Fast,Bowler,"Spencer Johnson's rise through the game has been remarkable. He only made his domestic T20 debut in early 2023, at the age of 27, and has now become a BBL force, has Australian caps under his belt and a million-dollar IPL deal."
Naveen-ul-Haq,LSG,Right hand Bat,Right arm Medium fast,Bowler,"A feisty fast bowler with a wide range of slower-ball variations, Naveen-ul-Haq first rose to prominence as a death-overs specialist, but soon developed his new-ball skills to become a useful weapon across phases. Like many of his compatriots, he is an in-demand commodity in franchise leagues across the world.
Born in Kabul, Naveen fled with his family to Pakistan in his early years, and began playing tape-ball cricket there. When they returned to Afghanistan, he began playing with a leather ball for the first time. He was so impressive for Afghanistan's Under-16 and Under-19 teams that his first professional match at the senior level was his ODI debut against Bangladesh, just two days after he turned 17.
Naveen made seven sporadic ODI appearances from his debut to January 2021, and a year later he took a break from the format to focus on the 2022 T20 World Cup. In the meantime, he became an integral part of Afghanistan's T20I side, either side of captaining Afghanistan to a fourth-place finish at the 2018 Under-19 World Cup.
Stints at the BPL, CPL, LPL and the T20 Blast followed as he began to build his reputation. In 2023, Naveen announced he would retire from ODIs after the World Cup that year. He took eight wickets as Afghanistan put in an impressive display in the competition, finishing sixth on the table.
By then, he had made his IPL debut as well, taking 11 wickets in his first season for Lucknow Super Giants, and was also in the news for an on-field altercation with Virat Kohli.
Towards the end of 2024, Naveen along with team-mates Fazalhaq Farooqi and Mujeeb-ur-Rahman got in trouble with the Afghanistan Cricket Board after they asked to be released from their central contracts so they could sign up for more franchise leagues. The board responded by revoking the players' NOCs and denying them further NOCs for the next two years. The situation was resolved with the board agreeing to grant them a limited number of NOCs and slapping them with financial penalties.
Naveen returned 14 wickets in IPL 2024, but it was in the T20 World Cup that year that he really shone. Naveen and Farooqi combined to take the spotlight away from Afghanistan's spinners as they made the semi-finals of a World Cup for the first time. Naveen finished the tournament with 13 wickets, and his three-wicket burst was one of the highlights of Afghanistan's first-ever victory over Australia in any format."
Spencer Johnson,GT,Left hand Bat,Left arm Fast,Bowler,"Spencer Johnson's rise through the game has been remarkable. He only made his domestic T20 debut in early 2023, at the age of 27, and has now become a BBL force, has Australian caps under his belt and a million-dollar IPL deal."
BR Sharath,GT,Right hand Bat,,Wicketkeeper Batter,
Devdutt Padikkal,LSG,Left hand Bat,Right arm Offbreak,Top order Batter,
Mayank Yadav,LSG,Right hand Bat,Right arm Fast,Bowler,"An express bowler from Delhi, Mayank Yadav had played just two List A games when he was picked by Lucknow Super Giants (LSG) ahead of IPL 2022. He did not play a match in the first season and was ruled out of the next season with a torn hamstring."
Manimaran Siddharth,LSG,Right hand Bat,Slow Left arm Orthodox,Bowler,
Khaleel Ahmed,DC,Right hand Bat,Left arm Fast medium,Bowler,
Mukesh Kumar,DC,Right hand Bat,Right arm Medium,Bowler,
Gulbadin Naib,DC,Right hand Bat,Right arm Medium fast,Batting Allrounder,"Gulbadin Naib's first love in sport was amateur bodybuilding, not cricket. When he eventually did take the game up, however, he progressed quickly through Afghanistan's age-group sides as a batting allrounder and was the youngest member of the team that won the Division Five tournament in 2008 - the first stepping stone to the full world stage."
Rishabh Pant(c),DC,Left hand Bat,,Wicketkeeper Batter,
Axar Patel,DC,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Kuldeep Yadav,DC,Left hand Bat,Left arm Wrist spin,Bowler,
Ishant Sharma,DC,Right hand Bat,Right arm Fast medium,Bowler,"With a physique reminiscent of a young Javagal Srinath, tall and wiry Ishant Sharma shot into prominence during the 2007-08 Test series in Australia, where he moved the ball both ways at pace and delivered a searching spell to Ricky Ponting in Perth that became the stuff of cricket lore. "
Shai Hope,DC,Right hand Bat,,Wicketkeeper Batter,"Shai Hope made his Test debut as a 21-year-old, having played just 14 first-class matches at the time. But few in the Caribbean doubted his talent as a batsman. Clive Lloyd gave him his West Indies cap, and coach Stuart Law insisted that he only needed one innings to get going. The world eventually got to know why the boy from Barbados was rated so highly when he became the first player, in 534 first-class matches, to score a hundred in each innings at Headingley."
Ravichandran Ashwin,RR,Right hand Bat,Right arm Offbreak,Bowling Allrounder,
Ravichandran Ashwin,RR,Right hand Bat,Right arm Offbreak,Bowling Allrounder,
Rasikh Salam,DC,Right hand Bat,Right arm Medium,Bowler,
Rasikh Salam,DC,Right hand Bat,Right arm Medium,Bowler,
Sandeep Sharma,RR,Right hand Bat,Right arm Medium,Bowler,
Tristan Stubbs,DC,Right hand Bat,Right arm Offbreak,Batter,
Jake Fraser-McGurk,DC,Right hand Bat,Legbreak Googly,Batter,Jake Fraser-McGurk is one of the most explosive batting talents to develop in Australia since David Warner. He burst onto the scene in domestic cricket as a 17-year-old scoring half-centuries on both his first-class and List A debuts for Victoria in November 2019. He was part of Australia's Under-19 World Cup team in South Africa 2020 but had to return home mid-tournament after being scratched by a monkey at a nature reserve on a day off. 
Abishek Porel,DC,Left hand Bat,,Wicketkeeper Batter,
Donovan Ferreira,RR,Right hand Bat,Right arm Offbreak,Allrounder,
Kuldeep Yadav,DC,Left hand Bat,Left arm Wrist spin,Bowler,
Axar Patel,DC,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Jos Buttler,RR,Right hand Bat,,Wicketkeeper Batter,
Shubham Dubey,RR,Left hand Bat,Right arm Offbreak,Middle order Batter,
Sameer Rizvi,CSK,Right hand Bat,Right arm Offbreak,Batter,
Shivam Dube,CSK,Left hand Bat,Right arm Medium,Allrounder,"A tall pace-bowling allrounder from the suburbs of Mumbai who started in the city's robust school cricket circuit, Shivam Dube shot to limelight in domestic cricket and the IPL with his almost unparallel six-hitting ability, especially against spin."
Mitchell Marsh,DC,Right hand Bat,Right arm Medium,Allrounder,
Daryl Mitchell,CSK,Right hand Bat,Right arm Medium,Batting Allrounder,"Daryl Mitchell was called into New Zealand's Test team in late 2019 as a replacement for the injured Colin de Grandhomme. He impressed, making an assured 73 against England in his first innings and bowling with good control on a sluggish surface at his home ground, Hamilton. "
Ajinkya Rahane,CSK,Right hand Bat,Right arm Medium,Top order Batter,"While he might not turn heads like many of his glitzier batting colleagues, Ajinkya Rahane has been a dependable middle-order batter for India, particularly overseas, and will always be remembered for leading the side to a spectacular Test series win in Australia in 2020-21."
Ravindra Jadeja,CSK,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Deepak Chahar,CSK,Right hand Bat,Right arm Medium,Bowler,
MS Dhoni,CSK,Right hand Bat,Right arm Medium,Wicketkeeper Batter,
Ruturaj Gaikwad(c),CSK,Right hand Bat,Right arm Offbreak,Batter,
Tushar Deshpande,CSK,Left hand Bat,Right arm Medium,Bowler,
Prithvi Shaw,DC,Right hand Bat,Right arm Offbreak,Opening Batter,
Matheesha Pathirana,CSK,Right hand Bat,Right arm Fast,Bowler,
